"siteId","year","p17","p50","p83","lon","lat","measurementName"
6475,2120,0.53,0.73,1.02,173.2188,-41.3092,"SSP2-4.5 (medium confidence)"
6475,2130,0.58,0.81,1.13,173.2188,-41.3092,"SSP2-4.5 (medium confidence)"
6475,2140,0.63,0.88,1.24,173.2188,-41.3092,"SSP2-4.5 (medium confidence)"
6475,2150,0.68,0.96,1.35,173.2188,-41.3092,"SSP2-4.5 (medium confidence)"
6475,2005,0,0,0,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2020,0.04,0.06,0.08,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2030,0.08,0.11,0.14,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2040,0.13,0.16,0.2,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2050,0.2,0.24,0.3,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2060,0.25,0.31,0.39,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2070,0.32,0.39,0.51,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2080,0.39,0.49,0.64,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2090,0.48,0.6,0.78,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2100,0.58,0.73,0.95,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2110,0.62,0.83,1.1,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2120,0.71,0.95,1.25,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2130,0.8,1.07,1.42,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2140,0.89,1.18,1.58,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2150,0.97,1.3,1.73,173.2188,-41.3092,"SSP3-7.0 (medium confidence)"
6475,2005,0,0,0,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2020,0.04,0.06,0.09,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2030,0.08,0.11,0.14,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2040,0.14,0.17,0.22,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2050,0.21,0.25,0.32,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2060,0.27,0.34,0.43,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2070,0.35,0.44,0.57,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2080,0.44,0.55,0.72,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2090,0.55,0.69,0.89,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2100,0.66,0.83,1.08,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2110,0.71,0.95,1.28,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2120,0.81,1.08,1.47,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2130,0.9,1.21,1.66,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2140,1,1.34,1.84,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6475,2150,1.08,1.46,2.01,173.2188,-41.3092,"SSP5-8.5 (medium confidence)"
6476,2005,0,0,0,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2020,0.04,0.06,0.1,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2030,0.08,0.11,0.16,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2040,0.11,0.16,0.24,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2050,0.15,0.21,0.33,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2060,0.18,0.25,0.41,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2070,0.22,0.3,0.5,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2080,0.24,0.35,0.6,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2090,0.28,0.4,0.69,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2100,0.3,0.45,0.81,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2110,0.33,0.52,0.91,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2120,0.36,0.58,1.02,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2130,0.38,0.63,1.13,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2140,0.4,0.68,1.24,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2150,0.42,0.74,1.35,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2160,0.44,0.79,1.46,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2170,0.46,0.85,1.57,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2180,0.48,0.9,1.69,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2190,0.5,0.96,1.8,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2200,0.52,1.02,1.92,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2210,0.54,1.07,2.04,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2220,0.56,1.13,2.16,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2230,0.57,1.18,2.28,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2240,0.59,1.23,2.4,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2250,0.61,1.28,2.51,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2260,0.62,1.33,2.63,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2270,0.64,1.38,2.75,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2280,0.65,1.42,2.87,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2290,0.67,1.47,2.99,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2300,0.68,1.52,3.11,173.2097,-41.3049,"SSP1-2.6 (low confidence)"
6476,2005,0,0,0,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2020,0.04,0.06,0.09,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2030,0.08,0.11,0.16,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2040,0.12,0.16,0.25,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2050,0.17,0.23,0.34,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2060,0.22,0.29,0.44,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2070,0.27,0.36,0.55,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2080,0.32,0.43,0.66,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2090,0.37,0.5,0.78,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2100,0.44,0.58,0.91,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2110,0.48,0.67,1.04,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2120,0.53,0.76,1.17,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2130,0.58,0.84,1.3,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2140,0.63,0.92,1.44,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2150,0.68,1.01,1.57,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2160,0.73,1.1,1.7,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2170,0.78,1.18,1.84,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2180,0.82,1.27,1.97,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2190,0.86,1.35,2.1,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2200,0.9,1.43,2.24,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2210,0.94,1.51,2.37,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2220,0.98,1.59,2.5,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2230,1.01,1.66,2.63,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2240,1.05,1.73,2.76,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2250,1.08,1.8,2.89,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2260,1.11,1.86,3.02,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2270,1.14,1.93,3.14,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2280,1.16,1.99,3.27,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2290,1.19,2.05,3.4,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2300,1.22,2.11,3.53,173.2097,-41.3049,"SSP2-4.5 (low confidence)"
6476,2005,0,0,0,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2020,0.04,0.06,0.1,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2030,0.08,0.11,0.17,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2040,0.13,0.18,0.28,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2050,0.2,0.26,0.42,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2060,0.27,0.35,0.6,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2070,0.35,0.47,0.82,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2080,0.44,0.6,1.08,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2090,0.55,0.76,1.37,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2100,0.67,0.94,1.68,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2110,0.71,1.13,1.99,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2120,0.81,1.34,2.28,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2130,0.9,1.56,2.84,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2140,1,1.81,3.73,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2150,1.08,2.07,4.69,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2160,1.16,2.35,5.63,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2170,1.23,2.61,6.55,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2180,1.3,2.85,7.43,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2190,1.37,3.1,8.17,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2200,1.43,3.34,8.83,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2210,1.5,3.57,9.47,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2220,1.56,3.79,10.09,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2230,1.61,4,10.7,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2240,1.66,4.2,11.32,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2250,1.72,4.39,11.96,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2260,1.77,4.58,12.61,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2270,1.81,4.76,13.25,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2280,1.86,4.95,13.87,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2290,1.9,5.13,14.47,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2300,1.95,5.31,15.05,173.2097,-41.3049,"SSP5-8.5 (low confidence)"
6476,2005,0,0,0,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2020,0.05,0.07,0.08,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2030,0.09,0.12,0.15,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2040,0.11,0.15,0.19,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2050,0.14,0.19,0.25,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2060,0.15,0.21,0.3,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2070,0.18,0.26,0.37,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2080,0.2,0.29,0.42,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2090,0.24,0.34,0.49,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2100,0.24,0.38,0.56,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2110,0.27,0.44,0.65,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2120,0.29,0.48,0.71,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2130,0.31,0.51,0.77,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2140,0.32,0.55,0.83,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2150,0.34,0.58,0.89,173.2097,-41.3049,"SSP1-1.9 (medium confidence)"
6476,2005,0,0,0,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2020,0.04,0.06,0.08,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2030,0.08,0.11,0.14,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2040,0.11,0.15,0.2,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2050,0.15,0.2,0.26,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2060,0.18,0.24,0.32,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2070,0.22,0.29,0.39,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2080,0.24,0.34,0.47,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2090,0.28,0.38,0.54,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2100,0.3,0.43,0.62,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2110,0.33,0.5,0.72,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2120,0.36,0.55,0.8,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2130,0.38,0.59,0.87,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2140,0.4,0.64,0.94,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2150,0.42,0.68,1.02,173.2097,-41.3049,"SSP1-2.6 (medium confidence)"
6476,2005,0,0,0,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2020,0.04,0.06,0.08,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2030,0.08,0.11,0.14,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2040,0.12,0.16,0.21,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2050,0.17,0.22,0.28,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2060,0.22,0.28,0.36,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2070,0.27,0.35,0.46,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2080,0.32,0.42,0.56,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2090,0.37,0.49,0.66,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2100,0.44,0.57,0.78,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2110,0.48,0.66,0.91,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2120,0.53,0.73,1.02,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2130,0.58,0.81,1.13,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2140,0.63,0.88,1.24,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2150,0.68,0.96,1.35,173.2097,-41.3049,"SSP2-4.5 (medium confidence)"
6476,2005,0,0,0,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2020,0.04,0.06,0.08,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2030,0.08,0.11,0.14,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2040,0.13,0.16,0.2,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2050,0.2,0.24,0.3,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2060,0.25,0.31,0.39,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2070,0.32,0.39,0.51,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2080,0.39,0.49,0.64,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2090,0.48,0.6,0.78,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2100,0.58,0.73,0.95,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2110,0.62,0.83,1.1,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2120,0.71,0.95,1.25,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2130,0.8,1.07,1.42,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2140,0.89,1.18,1.58,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2150,0.97,1.3,1.73,173.2097,-41.3049,"SSP3-7.0 (medium confidence)"
6476,2005,0,0,0,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2020,0.04,0.06,0.09,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2030,0.08,0.11,0.14,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2040,0.14,0.17,0.22,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2050,0.21,0.25,0.32,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2060,0.27,0.34,0.43,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2070,0.35,0.44,0.57,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2080,0.44,0.55,0.72,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2090,0.55,0.69,0.89,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2100,0.67,0.83,1.08,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2110,0.71,0.95,1.28,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2120,0.81,1.08,1.47,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2130,0.9,1.21,1.66,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2140,1,1.34,1.84,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6476,2150,1.08,1.46,2.01,173.2097,-41.3049,"SSP5-8.5 (medium confidence)"
6477,2005,0,0,0,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2020,0.04,0.06,0.1,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2030,0.08,0.11,0.16,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2040,0.11,0.16,0.24,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2050,0.15,0.21,0.33,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2060,0.18,0.25,0.41,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2070,0.22,0.3,0.5,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2080,0.24,0.35,0.6,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2090,0.28,0.4,0.69,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2100,0.3,0.45,0.81,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2110,0.33,0.52,0.92,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2120,0.36,0.58,1.02,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2130,0.38,0.63,1.13,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2140,0.4,0.68,1.24,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2150,0.42,0.74,1.35,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2160,0.44,0.79,1.46,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2170,0.46,0.85,1.57,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2180,0.48,0.9,1.69,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2190,0.5,0.96,1.8,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2200,0.52,1.02,1.92,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2210,0.54,1.07,2.04,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2220,0.56,1.13,2.16,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2230,0.57,1.18,2.28,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2240,0.59,1.23,2.4,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2250,0.61,1.28,2.51,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2260,0.62,1.33,2.63,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2270,0.64,1.38,2.75,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2280,0.65,1.42,2.87,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2290,0.67,1.47,2.99,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2300,0.68,1.52,3.11,173.219,-41.3032,"SSP1-2.6 (low confidence)"
6477,2005,0,0,0,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2020,0.04,0.06,0.09,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2030,0.08,0.11,0.16,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2040,0.12,0.16,0.25,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2050,0.17,0.23,0.34,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2060,0.22,0.29,0.44,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2070,0.27,0.36,0.55,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2080,0.32,0.43,0.66,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2090,0.37,0.5,0.78,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2100,0.44,0.58,0.91,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2110,0.48,0.67,1.04,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2120,0.53,0.76,1.17,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2130,0.58,0.84,1.3,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2140,0.63,0.92,1.44,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2150,0.68,1.01,1.57,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2160,0.73,1.1,1.7,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2170,0.78,1.18,1.84,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2180,0.82,1.27,1.97,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2190,0.86,1.35,2.1,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2200,0.9,1.43,2.24,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2210,0.94,1.51,2.37,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2220,0.98,1.59,2.5,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2230,1.01,1.66,2.63,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2240,1.05,1.73,2.76,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2250,1.08,1.8,2.89,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2260,1.11,1.86,3.02,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2270,1.14,1.93,3.14,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2280,1.16,1.99,3.27,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2290,1.19,2.05,3.4,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2300,1.22,2.11,3.53,173.219,-41.3032,"SSP2-4.5 (low confidence)"
6477,2005,0,0,0,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2020,0.04,0.06,0.1,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2030,0.08,0.11,0.17,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2040,0.13,0.18,0.28,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2050,0.2,0.26,0.42,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2060,0.27,0.35,0.6,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2070,0.35,0.47,0.82,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2080,0.44,0.6,1.08,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2090,0.55,0.76,1.37,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2100,0.67,0.94,1.68,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2110,0.71,1.13,1.99,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2120,0.81,1.34,2.28,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2130,0.9,1.56,2.84,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2140,1,1.81,3.73,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2150,1.08,2.07,4.69,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2160,1.16,2.35,5.63,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2170,1.23,2.61,6.55,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2180,1.3,2.85,7.43,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2190,1.37,3.1,8.17,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2200,1.43,3.34,8.83,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2210,1.5,3.57,9.47,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2220,1.56,3.79,10.09,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2230,1.61,4,10.7,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2240,1.66,4.2,11.32,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2250,1.72,4.39,11.96,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2260,1.77,4.58,12.61,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2270,1.82,4.76,13.25,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2280,1.86,4.95,13.87,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2290,1.9,5.13,14.47,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2300,1.95,5.31,15.05,173.219,-41.3032,"SSP5-8.5 (low confidence)"
6477,2005,0,0,0,173.219,-41.3032,"SSP1-1.9 (medium confidence)"
6477,2020,0.05,0.07,0.08,173.219,-41.3032,"SSP1-1.9 (medium confidence)"
6477,2030,0.09,0.12,0.15,173.219,-41.3032,"SSP1-1.9 (medium confidence)"
6477,2040,0.11,0.15,0.19,173.219,-41.3032,"SSP1-1.9 (medium confidence)"
6477,2050,0.14,0.19,0.25,173.219,-41.3032,"SSP1-1.9 (medium confidence)"
6477,2060,0.15,0.21,0.3,173.219,-41.3032,"SSP1-1.9 (medium confidence)"
6477,2070,0.18,0.26,0.37,173.219,-41.3032,"SSP1-1.9 (medium confidence)"
6477,2080,0.2,0.29,0.42,173.219,-41.3032,"SSP1-1.9 (medium confidence)"
6477,2090,0.24,0.34,0.49,173.219,-41.3032,"SSP1-1.9 (medium confidence)"
